id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
820420227372556294,820418767108837376,2017-01-14 17:59:59 Central Standard Time,2017-01-14,17:59:59,-0500,704365647,aiexandrao6,alex♡,,@actuaIIyash DUDE OTMRNJD I MISS THEM BOTH SO MUCH LOOK IT https://t.co/e9yNyG0RaU,en,[],[],"['https://pbs.twimg.com/media/C2K317zUkAEdRq9.jpg', 'https://pbs.twimg.com/media/C2K3170UAAAEHZD.jpg']",1,0,0,[],[],https://twitter.com/aIexandraO6/status/820420227372556294,,,1,https://pbs.twimg.com/media/C2K317zUkAEdRq9.jpg,NYC,,,,,,"{'user_id': '731543223529836544', 'username': 'howlrry'}",,,,
820420221580300294,820419274460266503,2017-01-14 17:59:58 Central Standard Time,2017-01-14,17:59:58,-0500,12193342,rachelsklar,Rachel Sklar,,@socarolinesays What if I won the lottery? Fantasies are fun.,en,['socarolinesays'],[],[],0,0,4,[],[],https://twitter.com/rachelsklar/status/820420221580300294,,,0,,NYC,,,,,,"{'user_id': '168606911', 'username': 'CarolineMoss'}",,,,
820420219520819200,820420219520819200,2017-01-14 17:59:57 Central Standard Time,2017-01-14,17:59:57,-0500,553134919,sarahdiaz54,Daisy,"{'type': 'Point', 'coordinates': [40.7741, -73.9711]}","Just taking life one step at a time. 
.
.
#newyork #centralpark @ Bethesda Terrace and Fountain https://t.co/PQBORKiJKv",en,[],['https://www.instagram.com/p/BPQ5yMljlMy/'],[],0,0,0,"['newyork', 'centralpark']",[],https://twitter.com/SarahDiaz54/status/820420219520819200,,,0,,NYC,,,,,,"{'user_id': None, 'username': None}",,,,
820420217641861121,820420217641861121,2017-01-14 17:59:57 Central Standard Time,2017-01-14,17:59:57,-0500,406751547,yoomarscomin,Omar S.,,Brian Poole! 🐊,en,[],[],[],0,0,0,[],[],https://twitter.com/yoomarscomin/status/820420217641861121,,,0,,NYC,,,,,,"{'user_id': None, 'username': None}",,,,
820420215301406721,820420215301406721,2017-01-14 17:59:56 Central Standard Time,2017-01-14,17:59:56,-0500,859322600,tloikkanen,Tuula Loikkanen,,10 Photos Of John Lewis In Action (And What Trump Was Doing At The Time) https://t.co/XofwFAE9lQ lähteestä @wspiv001,fi,['wspiv001'],['https://enigmainblack.wordpress.com/2017/01/14/10-photos-of-john-lewis-in-action-and-what-trump-was-doing-at-the-time/'],[],1,1,0,[],[],https://twitter.com/TLoikkanen/status/820420215301406721,,,0,,NYC,,,,,,"{'user_id': None, 'username': None}",,,,
820420213791424512,820393897490845696,2017-01-14 17:59:56 Central Standard Time,2017-01-14,17:59:56,-0500,25718981,lagranderusty,ed marcus,,@lunanymets TBD,und,[],[],[],0,0,0,[],[],https://twitter.com/lagranderusty/status/820420213791424512,,,0,,NYC,,,,,,"{'user_id': None, 'username': None}",,,,
820420207978151937,820420207978151937,2017-01-14 17:59:54 Central Standard Time,2017-01-14,17:59:54,-0500,995928745,j4y_starr,🙎🏽‍♂️,,Run on the field....how cool are you 😑,en,[],[],[],0,0,0,[],[],https://twitter.com/J4Y_Starr/status/820420207978151937,,,0,,NYC,,,,,,"{'user_id': None, 'username': None}",,,,
820420200663158784,820420200663158784,2017-01-14 17:59:53 Central Standard Time,2017-01-14,17:59:53,-0500,182635395,evabennett3,Eva,"{'type': 'Point', 'coordinates': [40.7, -73.95]}","Snowy rooftop vibes ❄️ @ Williamsburg, Brooklyn https://t.co/3rpvQcJODD",en,[],['https://www.instagram.com/p/BPQ5xlehGIz/'],[],0,0,0,[],[],https://twitter.com/evabennett3/status/820420200663158784,,,0,,NYC,,,,,,"{'user_id': None, 'username': None}",,,,
820420199207829504,820420199207829504,2017-01-14 17:59:52 Central Standard Time,2017-01-14,17:59:52,-0500,9821342,joygarnett,leaner meaner Amina,,"Meet the artist: @ZoeListerJones @bandaidfilm @sundancefest #Sundance2017 #awesome 
👑🍷💄👒😎💜💣
https://t.co/Rb5XEPKodJ",en,"['zoelisterjones', 'bandaidfilm', 'sundancefest']",['https://youtu.be/F4qv7pJlN8U'],[],0,0,0,"['sundance2017', 'awesome']",[],https://twitter.com/joygarnett/status/820420199207829504,,,0,,NYC,,,,,,"{'user_id': None, 'username': None}",,,,
820420191301603328,820420191301603328,2017-01-14 17:59:50 Central Standard Time,2017-01-14,17:59:50,-0500,1093449242,kidklo,Kevin Lopez,,"@adidasoriginals I wanna order a product online, but it says ""LowStock"" is there a possibility it's sold out? Don't wanna order and not get",en,['adidasoriginals'],[],[],0,0,0,[],[],https://twitter.com/KidKLO/status/820420191301603328,,,0,,NYC,,,,,,"{'user_id': '20348431', 'username': 'adidasoriginals'}",,,,
