id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
804837539072843776,804837539072843776,2016-12-02 17:59:57 Central Standard Time,2016-12-02,17:59:57,-0500,172668476,samoraabayomi,Samora Pinderhughes,,"If you're in NYC on Dec 7, sign up for this event now!! &amp; thnks to @kirkajames for having us. https://t.co/TfunxxVbZs",en,[],['https://www.eventbrite.com/e/re-imagine-justice-transformations-suite-6x9-virtual-reality-experience-tickets-29913295472'],[],0,0,0,[],[],https://twitter.com/samoraabayomi/status/804837539072843776,,,0,,NYC,,,,,,"{'user_id': None, 'username': None}",,,,
804837531896446976,804826579583008768,2016-12-02 17:59:55 Central Standard Time,2016-12-02,17:59:55,-0500,14738275,dcousineau,your idiot friend,,@lawnsea @jennschiffer @ohhoe https://t.co/A1jBah482E,und,"['lawnsea', 'jennschiffer', 'ohhoe']",[],['https://pbs.twimg.com/tweet_video_thumb/Cytbb4iXUAIEnpe.jpg'],0,0,2,[],[],https://twitter.com/dcousineau/status/804837531896446976,,,1,https://pbs.twimg.com/tweet_video_thumb/Cytbb4iXUAIEnpe.jpg,NYC,,,,,,"{'user_id': '14132172', 'username': 'lawnsea'}",,,,
804837531766452225,804837531766452225,2016-12-02 17:59:55 Central Standard Time,2016-12-02,17:59:55,-0500,2968148254,checkoutstoretm,CheckOutStore,"{'type': 'Point', 'coordinates': [40.6548713, -74.0064354]}",1000 SLIM GREEN Color CD Jewel Cases $240.00 #FreeShip https://t.co/nPCU6qTdwe #CD #Jewel #Cases #Generic https://t.co/ktI2zufizn,en,[],['http://nigx.net/q70PQ8'],['https://pbs.twimg.com/media/Cytbd9AXAAAEMkI.jpg'],0,0,0,"['freeship', 'cd', 'jewel', 'cases', 'generic']",[],https://twitter.com/checkoutstoretm/status/804837531766452225,,,1,https://pbs.twimg.com/media/Cytbd9AXAAAEMkI.jpg,NYC,,,,,,"{'user_id': None, 'username': None}",,,,
804837523830829056,804837523830829056,2016-12-02 17:59:53 Central Standard Time,2016-12-02,17:59:53,-0500,340530127,crash_sse,TK🎱,,Peep I'm very high rn and just tweeting but my point is nobody should be stressing https://t.co/IM4IML4k3z,en,[],['https://twitter.com/lensfreestyle_/status/804837195429408772'],[],0,0,0,[],[],https://twitter.com/Crash_SSE/status/804837523830829056,,https://twitter.com/lensfreestyle_/status/804837195429408772,0,,NYC,,,,,,"{'user_id': None, 'username': None}",,,,
804837517962969088,804837517962969088,2016-12-02 17:59:52 Central Standard Time,2016-12-02,17:59:52,-0500,3192129959,frontmezzjunkie,frontmezzjunkie,,"https://t.co/wP9VxXSi1d is at the movies tonight. #MoonlightMovie 
Maybe a review? https://t.co/QfB1nGSnKK",en,[],['http://Frontmezzjunkies.com'],['https://pbs.twimg.com/media/CytbcuBUoAA5NOW.jpg'],0,0,0,['moonlightmovie'],[],https://twitter.com/frontmezzjunkie/status/804837517962969088,,,1,https://pbs.twimg.com/media/CytbcuBUoAA5NOW.jpg,NYC,,,,,,"{'user_id': None, 'username': None}",,,,
804837505589657600,804837505589657600,2016-12-02 17:59:49 Central Standard Time,2016-12-02,17:59:49,-0500,718926715490299904,girlstravelout,♊️ nomadic,"{'type': 'Point', 'coordinates': [40.78067282, -73.97351821]}",Just posted a video @ American Museum of Natural History https://t.co/a5fsvEQ3v5,en,[],['https://www.instagram.com/p/BNiLlLihNmW/'],[],0,0,1,[],[],https://twitter.com/girlstravelout/status/804837505589657600,,,0,,NYC,,,,,,"{'user_id': None, 'username': None}",,,,
804837499365453824,804837499365453824,2016-12-02 17:59:47 Central Standard Time,2016-12-02,17:59:47,-0500,471942698,jilldavis9,Jill Davis,,"Now this: Trump speaks to Taiwan's pres, reverses decades of U.S. policy | By @christinawilkie https://t.co/Ina8DMkI6B # via @HuffPostPol",en,"['christinawilkie', 'huffpostpol']",['http://www.huffingtonpost.com/entry/trump-calls-taiwan_us_5841f96be4b017f37fe4bcae?ncid=engmodushpmg00000004'],[],0,0,0,[],[],https://twitter.com/JillDavis9/status/804837499365453824,,,0,,NYC,,,,,,"{'user_id': None, 'username': None}",,,,
804837498505621504,804837498505621504,2016-12-02 17:59:47 Central Standard Time,2016-12-02,17:59:47,-0500,177560914,ayelet_survivor,(((Avigayil Bee))) Clinician. Survivor.,,"@ExpressScripts Went BACK to pharmacy, was told I wasn't covered. Phrmacist spent AN HOUR on hold with you. No resolution/2",en,['expressscripts'],[],[],0,0,0,[],[],https://twitter.com/ayelet_survivor/status/804837498505621504,,,0,,NYC,,,,,,"{'user_id': '42867610', 'username': 'ExpressScripts'}",,,,
804837493027864576,804837493027864576,2016-12-02 17:59:46 Central Standard Time,2016-12-02,17:59:46,-0500,59670521,qimster,✨ultrabookgeek ✨,,I drank a bit before walking into the #moonlight movie,en,[],[],[],0,0,0,['moonlight'],[],https://twitter.com/qimster/status/804837493027864576,,,0,,NYC,,,,,,"{'user_id': None, 'username': None}",,,,
804837469090967553,804837469090967553,2016-12-02 17:59:40 Central Standard Time,2016-12-02,17:59:40,-0500,2380581448,amandarxo,him suck mi like mango pit,,Lmfao y'all really be on here ready to ruin relationships with hypothetical scenarios https://t.co/BmL1bq2IDM,en,[],['https://twitter.com/linzzz_h/status/804409839313100800'],[],0,3,3,[],[],https://twitter.com/amandarxo/status/804837469090967553,,https://twitter.com/linzzz_h/status/804409839313100800,0,,NYC,,,,,,"{'user_id': None, 'username': None}",,,,
804837468000415744,804837468000415744,2016-12-02 17:59:40 Central Standard Time,2016-12-02,17:59:40,-0500,4465723576,tootziebelle,Luz,,XIAN ForMTRCB4 FamAndChildSummit https://t.co/aDRzyUYbw8,en,[],[],['https://pbs.twimg.com/media/CytbZ9aUAAAHae1.jpg'],0,7,0,[],[],https://twitter.com/tootziebelle/status/804837468000415744,,,1,https://pbs.twimg.com/media/CytbZ9aUAAAHae1.jpg,NYC,,,,,,"{'user_id': None, 'username': None}",,,,
804837467719249924,804837467719249924,2016-12-02 17:59:40 Central Standard Time,2016-12-02,17:59:40,-0500,196626541,turntvonnelit,Maverick,"{'type': 'Point', 'coordinates': [40.80903333, -73.94837222]}",always fun to (original gun emoji) this one 🙏🏼❤️ #bnw #nyc @ Harlem https://t.co/cR5FvLLSbV,en,[],['https://www.instagram.com/p/BNiLkXchrf0/'],[],0,0,0,"['bnw', 'nyc']",[],https://twitter.com/turntvonnelit/status/804837467719249924,,,0,,NYC,,,,,,"{'user_id': None, 'username': None}",,,,
804837456730345472,804837456730345472,2016-12-02 17:59:37 Central Standard Time,2016-12-02,17:59:37,-0500,153503737,nktpnd,Ankit Panda,,"Important dyads Trump is already affecting:
-China-Taiwan
-India-Pakistan
-Iran-Saudi Arabia",tl,[],[],[],2,6,4,[],[],https://twitter.com/nktpnd/status/804837456730345472,,,0,,NYC,,,,,,"{'user_id': None, 'username': None}",,,,
804837452896698372,804837452896698372,2016-12-02 17:59:36 Central Standard Time,2016-12-02,17:59:36,-0500,194844686,stevethebarbers,Stone Cold Steve,"{'type': 'Point', 'coordinates': [40.7142, -74.0064]}","If you need it, I'm there✈️, whether it's a house call, hotel call, photo shoot, or any… https://t.co/LZ8ZEuNOlP",en,[],['https://www.instagram.com/p/BNiLjLTgMj0/'],[],0,0,1,[],[],https://twitter.com/SteveTheBarbers/status/804837452896698372,,,0,,NYC,,,,,,"{'user_id': None, 'username': None}",,,,
